lens,model,rho1_left,rho1_right,rho2_left,rho2_right,n,detected,efficiency,ci_low,ci_high
PM,pi_resnet,3.049,41.004,2.9,34.723,164,5,0.03048780487804878,0.01309144419541141,0.06937601597770959
PM,pi_resnet,3.049,41.004,34.723,60.71,103,7,0.06796116504854369,0.03330773910988612,0.13368229469933413
PM,pi_resnet,3.049,41.004,60.71,92.524,43,1,0.023255813953488372,0.004117087274333769,0.12058993440607177
PM,pi_resnet,3.049,41.004,92.524,152.118,18,0,0.0,0.0,0.17587922364665765
PM,pi_resnet,3.049,41.004,152.118,1101.371,7,0,0.0,5.551115123125783e-17,0.35433043506668743
PM,pi_resnet,41.004,68.675,2.9,34.723,111,4,0.036036036036036036,0.014101302509231785,0.08901005589995212
PM,pi_resnet,41.004,68.675,34.723,60.71,125,12,0.096,0.05577122611489426,0.16031961200143352
PM,pi_resnet,41.004,68.675,60.71,92.524,69,15,0.21739130434782608,0.13640766010620264,0.32818296408760916
PM,pi_resnet,41.004,68.675,92.524,152.118,42,7,0.16666666666666666,0.08315916646398075,0.3060400274464885
PM,pi_resnet,41.004,68.675,152.118,1101.371,9,2,0.2222222222222222,0.06322510711784671,0.5474110308930111
PM,pi_resnet,68.675,103.87,2.9,34.723,46,2,0.043478260869565216,0.012005445598556624,0.1453225902621907
PM,pi_resnet,68.675,103.87,34.723,60.71,83,9,0.10843373493975904,0.058104915192981194,0.19340466464711883
PM,pi_resnet,68.675,103.87,60.71,92.524,133,46,0.3458646616541353,0.2703801270626437,0.43000307293142337
PM,pi_resnet,68.675,103.87,92.524,152.118,73,22,0.3013698630136986,0.20822590579126068,0.41437365901307077
PM,pi_resnet,68.675,103.87,152.118,1101.371,21,8,0.38095238095238093,0.20751011368564493,0.5912134622488425
PM,pi_resnet,103.87,172.615,2.9,34.723,20,0,0.0,0.0,0.16112515805281938
PM,pi_resnet,103.87,172.615,34.723,60.71,53,5,0.09433962264150944,0.04097264149725047,0.20253727376296274
PM,pi_resnet,103.87,172.615,60.71,92.524,86,18,0.20930232558139536,0.1366981607462176,0.30676590744316745
PM,pi_resnet,103.87,172.615,92.524,152.118,145,53,0.36551724137931035,0.29154432711473016,0.4464319040442079
PM,pi_resnet,103.87,172.615,152.118,1101.371,75,22,0.29333333333333333,0.20240140321903244,0.40440445167386063
PM,pi_resnet,172.615,1151.84,2.9,34.723,4,0,0.0,0.0,0.4898908364545973
PM,pi_resnet,172.615,1151.84,34.723,60.71,7,0,0.0,5.551115123125783e-17,0.35433043506668743
PM,pi_resnet,172.615,1151.84,60.71,92.524,24,4,0.16666666666666666,0.06678676328632951,0.3585307064969906
PM,pi_resnet,172.615,1151.84,92.524,152.118,67,17,0.2537313432835821,0.16487913818578948,0.3692919453950009
PM,pi_resnet,172.615,1151.84,152.118,1101.371,217,136,0.6267281105990783,0.560694554403214,0.6883528857545493
PM,cqt_deit,3.049,41.004,2.9,34.723,164,1,0.006097560975609756,0.0010771813904626622,0.03372625073970362
PM,cqt_deit,3.049,41.004,34.723,60.71,103,3,0.02912621359223301,0.00995436781664455,0.08215836566082022
PM,cqt_deit,3.049,41.004,60.71,92.524,43,2,0.046511627906976744,0.012849260094380227,0.15455498004063967
PM,cqt_deit,3.049,41.004,92.524,152.118,18,1,0.05555555555555555,0.009875190978303097,0.25757300781872594
PM,cqt_deit,3.049,41.004,152.118,1101.371,7,0,0.0,5.551115123125783e-17,0.35433043506668743
