lens,model,target_fpp,threshold,achieved_fpp,hard_fpp,easy_fpp,efficiency,fpp_ci,efficiency_ci
SIS,pi_resnet,0.01,0.2155829255816507,0.00948,0.008514285714285714,0.011733333333333333,0.8102857142857143,"[0.008491887244575022, 0.01057559706632504]","[0.7982857142857143, 0.8234285714285714]"
SIS,pi_resnet,0.001,0.9981431716530528,0.00085,0.0009714285714285714,0.0005666666666666667,0.5354285714285715,"[0.0006304331077664444, 0.0010915087381691557]","[0.5097142857142857, 0.5628571428571428]"
SIS,pi_resnet,0.0001,0.9999962979827796,4e-05,5.714285714285714e-05,0.0,0.10171428571428572,"[0.0, 0.00010044714045458775]","[0.08628571428571429, 0.11714285714285715]"
SIS,cqt_deit,0.01,0.8935735,0.01024,0.011357142857142857,0.007633333333333333,0.6634285714285715,"[0.009512190775526555, 0.010983557237759733]","[0.64, 0.6874285714285714]"
SIS,cqt_deit,0.001,0.9438525,0.00119,0.0015142857142857143,0.0004333333333333333,0.37714285714285717,"[0.0009192326713356495, 0.0014348069620280437]","[0.3588571428571429, 0.39485714285714285]"
SIS,cqt_deit,0.0001,0.9561654,0.0001,0.00014285714285714287,0.0,0.1417142857142857,"[4.009680376029439e-05, 0.00015061628419893536]","[0.12971428571428573, 0.15371428571428572]"
PM,pi_resnet,0.01,0.9464531614849192,0.00954,0.009114285714285714,0.010533333333333334,0.7571428571428571,"[0.0088062143456424, 0.010323213713553348]","[0.7354285714285714, 0.7765714285714286]"
PM,pi_resnet,0.001,0.9999204273671976,0.00063,0.0007142857142857143,0.0004333333333333333,0.22742857142857142,"[0.0003295468733699225, 0.0010417428361311537]","[0.21085714285714285, 0.24571428571428572]"
PM,pi_resnet,0.0001,0.9999999730573668,0.00016,0.00017142857142857143,0.00013333333333333334,0.027428571428571427,"[4.991805950968773e-05, 0.00032100949489247376]","[0.018857142857142857, 0.038285714285714284]"
PM,cqt_deit,0.01,0.9512128,0.00842,0.007757142857142857,0.009966666666666667,0.43885714285714283,"[0.007653059302942621, 0.009074688734105617]","[0.4205571428571429, 0.4565714285714286]"
PM,cqt_deit,0.001,0.9609393,0.00079,0.0008714285714285714,0.0006,0.09257142857142857,"[0.0006092810483629318, 0.0009800107801568039]","[0.08171428571428571, 0.104]"
PM,cqt_deit,0.0001,0.96391076,0.00014,0.00015714285714285713,0.0001,0.018285714285714287,"[5.99717383219684e-05, 0.0002297063778499157]","[0.012, 0.025142857142857144]"
