epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.6697030048370362,0.60825,0.6300687942504882,0.656,0.734968,5e-05
2,0.6588470387458801,0.6235,0.6203038687705994,0.654,0.744356,4.999865664945505e-05
3,0.6443209257125855,0.63625,0.5974750988483429,0.711,0.8032599999999999,4.999462674513372e-05
4,0.5840255632400513,0.725,0.5699545543193817,0.715,0.876072,4.998791072896043e-05
5,0.5363361859321594,0.76775,0.45148881363868715,0.833,0.923468,4.997850933742203e-05
6,0.49983138012886047,0.802,0.4241204319000244,0.856,0.94044,4.996642360148706e-05
7,0.47757378792762756,0.82075,0.4320743932723999,0.851,0.9342199999999999,4.9951654846492654e-05
8,0.4569905273914337,0.8395,0.4039096279144287,0.856,0.9416079999999999,4.993420469199922e-05
9,0.4465984020233154,0.84525,0.4172652418613434,0.859,0.9476600000000001,4.991407505161286e-05
10,0.4425374059677124,0.84925,0.3989473679065704,0.863,0.9458159999999999,4.989126813277546e-05
11,0.4343909740447998,0.84875,0.36990988779067996,0.884,0.960884,4.986578643652269e-05
12,0.43423132252693175,0.84275,0.3989162178039551,0.865,0.9511240000000001,4.983763275720971e-05
13,0.42074304628372194,0.8575,0.36368651294708254,0.886,0.9652639999999999,4.9806810182204715e-05
14,0.4191025235652924,0.8575,0.3707722201347351,0.883,0.9613839999999999,4.977332209155037e-05
15,0.40695184206962587,0.871,0.36099985933303835,0.896,0.963336,4.9737172157593216e-05
16,0.4021529734134674,0.864,0.35115709257125854,0.895,0.9687520000000001,4.969836434458088e-05
17,0.39617617678642275,0.87175,0.3612324614524841,0.892,0.9643440000000001,4.965690290822737e-05
18,0.39774615716934203,0.87225,0.3548993544578552,0.896,0.9670400000000001,4.961279239524642e-05
19,0.4007174782752991,0.869,0.3591394369602203,0.892,0.967444,4.956603764285288e-05
20,0.3779101220369339,0.8845,0.3670000801086426,0.891,0.9592720000000001,4.951664377823219e-05
21,0.38770132899284365,0.8765,0.35619296264648437,0.902,0.964428,4.946461621797824e-05
22,0.37580605006217954,0.888,0.350317449092865,0.903,0.9689960000000001,4.940996066749931e-05
23,0.3815249570608139,0.88325,0.35605664253234864,0.897,0.9675640000000001,4.935268312039243e-05
24,0.3864916752576828,0.88125,0.3552229871749878,0.895,0.967716,4.929278985778609e-05
25,0.3742196877002716,0.8875,0.35071519565582276,0.891,0.9713160000000002,4.923028744765147e-05
26,0.3715031903982162,0.8965,0.34543056201934813,0.899,0.972108,4.9165182744082176e-05
27,0.37176826620101927,0.8885,0.32999453783035276,0.911,0.9757720000000001,4.909748288654263e-05
28,0.36729819107055667,0.8945,0.33947494649887083,0.908,0.9736199999999999,4.902719529908511e-05
29,0.3650628818273544,0.8955,0.36128868007659914,0.888,0.9665440000000001,4.895432768953565e-05
30,0.3638835923671722,0.8955,0.3377874176502228,0.922,0.9721559999999999,4.8878888048648786e-05
31,0.3588836567401886,0.89725,0.3472898998260498,0.907,0.969692,4.880088464923127e-05
32,0.3554449619054794,0.90175,0.3441337907314301,0.901,0.971572,4.872032604523486e-05
33,0.35508128547668455,0.90675,0.3401403732299805,0.912,0.970476,4.86372210708183e-05
34,0.3549738541841507,0.9055,0.34007442426681517,0.906,0.9758640000000001,4.855157883937853e-05
35,0.34747192788124087,0.90775,0.3269561517238617,0.914,0.97678,4.846340874255135e-05
36,0.3512724275588989,0.90625,0.3386040539741516,0.904,0.97262,4.837272044918144e-05
37,0.340427950501442,0.91125,0.3251118850708008,0.918,0.978028,4.827952390426216e-05
38,0.34242653036117554,0.912,0.3279489905834198,0.921,0.9764079999999999,4.818382932784488e-05
39,0.3492651233673096,0.905,0.3332931977510452,0.905,0.9730880000000001,4.808564721391827e-05
40,0.33743052995204925,0.9125,0.3386000747680664,0.904,0.97174,4.798498832925754e-05
41,0.33609782087802886,0.92025,0.3300226311683655,0.911,0.9764360000000001,4.788186371224372e-05
42,0.3351734662055969,0.91925,0.3439072988033295,0.902,0.972752,4.777628467165318e-05
43,0.33261730313301086,0.92175,0.32649223566055297,0.915,0.978232,4.7668262785417475e-05
44,0.3360940132141113,0.91525,0.32753485822677614,0.913,0.9764120000000001,4.755780989935374e-05
45,0.3328343849182129,0.91875,0.3279344012737274,0.908,0.978344,4.744493812586561e-05
46,0.33481451284885405,0.92075,0.3313495273590088,0.916,0.9756640000000001,4.7329659842615e-05
47,0.3319678077697754,0.916,0.3309858751296997,0.922,0.976644,4.721198769116475e-05
48,0.33219675767421725,0.9225,0.3312376127243042,0.916,0.9758800000000001,4.7091934575592297e-05
49,0.3227464826107025,0.931,0.3605130174160004,0.885,0.9747,4.696951366107465e-05
50,0.31919264829158783,0.9305,0.32587296605110166,0.912,0.978548,4.684473837244464e-05
51,0.32365437734127045,0.924,0.3436026022434235,0.907,0.9793959999999999,4.6717622392718744e-05
52,0.32623748302459715,0.92175,0.3183816633224487,0.916,0.9800880000000001,4.6588179661596617e-05
53,0.31794430434703824,0.93125,0.33916316270828245,0.898,0.9740679999999999,4.645642437393241e-05
54,0.3176238994598389,0.92775,0.3261869497299194,0.919,0.977776,4.6322370978178164e-05
55,0.3216230932474136,0.927,0.3415621821880341,0.906,0.976828,4.6186034174799365e-05
56,0.31294689631462097,0.931,0.32635955905914305,0.908,0.977444,4.604742891466288e-05
57,0.3072094848155975,0.93575,0.3609504699707031,0.898,0.969004,4.590657039739743e-05
58,0.3117548768520355,0.93375,0.3347968111038208,0.91,0.977616,4.5763474069726755e-05
59,0.315480358839035,0.9305,0.3355047574043274,0.916,0.97746,4.5618155623775743e-05
60,0.30236515879631043,0.936,0.34583411741256714,0.914,0.97222,4.547063099534957e-05
61,0.3049082392454147,0.936,0.35391419553756714,0.899,0.969604,4.5320916362186205e-05
62,0.3041925143003464,0.938,0.3508581113815308,0.899,0.9735440000000001,4.51690281421823e-05
63,0.3072595896720886,0.9355,0.33014403200149534,0.917,0.978316,4.50149829915928e-05
64,0.2972258110046387,0.9415,0.35477901315689087,0.901,0.974328,4.48587978032044e-05
65,0.30187038755416873,0.9395,0.3296280362606049,0.921,0.9747760000000001,4.470048970448307e-05
66,0.30124989366531374,0.94125,0.3621900777816772,0.891,0.966388,4.454007605569578e-05
67,0.3046423989534378,0.93875,0.3424177528619766,0.91,0.976528,4.437757444800683e-05
68,0.2879589471817017,0.9485,0.3443057141304016,0.91,0.975484,4.421300270154873e-05
69,0.2981258214712143,0.94425,0.3459508061408997,0.905,0.974728,4.404637886346802e-05
70,0.2924569979906082,0.93925,0.35652160573005676,0.904,0.9673,4.387772120594625e-05
71,0.29042899453639986,0.949,0.34813480615615844,0.902,0.974376,4.370704822419615e-05
72,0.29148166143894194,0.9425,0.3592861533164978,0.911,0.973156,4.353437863443348e-05
