epoch=001 train_loss=0.679915 train_acc=0.5955 val_loss=0.631385 val_acc=0.6670 val_auc=0.724700
epoch=002 train_loss=0.658136 train_acc=0.6305 val_loss=0.619477 val_acc=0.6720 val_auc=0.748016
epoch=003 train_loss=0.642780 train_acc=0.6455 val_loss=0.682330 val_acc=0.5600 val_auc=0.776108
epoch=004 train_loss=0.589430 train_acc=0.7175 val_loss=0.517250 val_acc=0.7900 val_auc=0.864072
epoch=005 train_loss=0.552412 train_acc=0.7575 val_loss=0.503632 val_acc=0.7940 val_auc=0.874696
epoch=006 train_loss=0.532993 train_acc=0.7817 val_loss=0.478582 val_acc=0.8260 val_auc=0.895648
epoch=007 train_loss=0.509847 train_acc=0.7955 val_loss=0.446467 val_acc=0.8450 val_auc=0.923072
epoch=008 train_loss=0.502442 train_acc=0.8033 val_loss=0.429743 val_acc=0.8560 val_auc=0.928640
epoch=009 train_loss=0.487868 train_acc=0.8160 val_loss=0.459730 val_acc=0.8250 val_auc=0.922656
epoch=010 train_loss=0.480947 train_acc=0.8153 val_loss=0.424558 val_acc=0.8520 val_auc=0.934160
epoch=011 train_loss=0.480901 train_acc=0.8147 val_loss=0.438547 val_acc=0.8480 val_auc=0.927488
epoch=012 train_loss=0.471784 train_acc=0.8247 val_loss=0.467997 val_acc=0.8140 val_auc=0.922648
epoch=013 train_loss=0.453904 train_acc=0.8357 val_loss=0.407450 val_acc=0.8570 val_auc=0.942688
epoch=014 train_loss=0.463602 train_acc=0.8287 val_loss=0.430175 val_acc=0.8540 val_auc=0.927776
epoch=015 train_loss=0.454199 train_acc=0.8355 val_loss=0.430409 val_acc=0.8510 val_auc=0.936628
epoch=016 train_loss=0.438731 train_acc=0.8427 val_loss=0.403105 val_acc=0.8640 val_auc=0.945056
epoch=017 train_loss=0.443309 train_acc=0.8433 val_loss=0.414931 val_acc=0.8580 val_auc=0.939228
epoch=018 train_loss=0.438287 train_acc=0.8438 val_loss=0.419902 val_acc=0.8390 val_auc=0.939200
epoch=019 train_loss=0.439784 train_acc=0.8405 val_loss=0.390643 val_acc=0.8780 val_auc=0.950664
epoch=020 train_loss=0.427302 train_acc=0.8495 val_loss=0.394329 val_acc=0.8720 val_auc=0.951252
epoch=021 train_loss=0.436543 train_acc=0.8488 val_loss=0.416238 val_acc=0.8710 val_auc=0.951292
epoch=022 train_loss=0.433715 train_acc=0.8490 val_loss=0.396578 val_acc=0.8700 val_auc=0.949856
epoch=023 train_loss=0.422582 train_acc=0.8552 val_loss=0.387130 val_acc=0.8700 val_auc=0.952148
epoch=024 train_loss=0.430672 train_acc=0.8548 val_loss=0.392193 val_acc=0.8620 val_auc=0.950888
epoch=025 train_loss=0.420873 train_acc=0.8625 val_loss=0.408291 val_acc=0.8480 val_auc=0.945260
epoch=026 train_loss=0.413921 train_acc=0.8680 val_loss=0.414024 val_acc=0.8470 val_auc=0.949544
epoch=027 train_loss=0.413748 train_acc=0.8670 val_loss=0.396789 val_acc=0.8760 val_auc=0.946820
epoch=028 train_loss=0.403925 train_acc=0.8712 val_loss=0.398010 val_acc=0.8800 val_auc=0.951372
epoch=029 train_loss=0.408654 train_acc=0.8662 val_loss=0.390816 val_acc=0.8760 val_auc=0.952296
