epoch=001 train_loss=0.669703 train_acc=0.6082 val_loss=0.630069 val_acc=0.6560 val_auc=0.734968
epoch=002 train_loss=0.658847 train_acc=0.6235 val_loss=0.620304 val_acc=0.6540 val_auc=0.744356
epoch=003 train_loss=0.644321 train_acc=0.6362 val_loss=0.597475 val_acc=0.7110 val_auc=0.803260
epoch=004 train_loss=0.584026 train_acc=0.7250 val_loss=0.569955 val_acc=0.7150 val_auc=0.876072
epoch=005 train_loss=0.536336 train_acc=0.7678 val_loss=0.451489 val_acc=0.8330 val_auc=0.923468
epoch=006 train_loss=0.499831 train_acc=0.8020 val_loss=0.424120 val_acc=0.8560 val_auc=0.940440
epoch=007 train_loss=0.477574 train_acc=0.8207 val_loss=0.432074 val_acc=0.8510 val_auc=0.934220
epoch=008 train_loss=0.456991 train_acc=0.8395 val_loss=0.403910 val_acc=0.8560 val_auc=0.941608
epoch=009 train_loss=0.446598 train_acc=0.8452 val_loss=0.417265 val_acc=0.8590 val_auc=0.947660
epoch=010 train_loss=0.442537 train_acc=0.8492 val_loss=0.398947 val_acc=0.8630 val_auc=0.945816
epoch=011 train_loss=0.434391 train_acc=0.8488 val_loss=0.369910 val_acc=0.8840 val_auc=0.960884
epoch=012 train_loss=0.434231 train_acc=0.8427 val_loss=0.398916 val_acc=0.8650 val_auc=0.951124
epoch=013 train_loss=0.420743 train_acc=0.8575 val_loss=0.363687 val_acc=0.8860 val_auc=0.965264
epoch=014 train_loss=0.419103 train_acc=0.8575 val_loss=0.370772 val_acc=0.8830 val_auc=0.961384
epoch=015 train_loss=0.406952 train_acc=0.8710 val_loss=0.361000 val_acc=0.8960 val_auc=0.963336
epoch=016 train_loss=0.402153 train_acc=0.8640 val_loss=0.351157 val_acc=0.8950 val_auc=0.968752
epoch=017 train_loss=0.396176 train_acc=0.8718 val_loss=0.361232 val_acc=0.8920 val_auc=0.964344
epoch=018 train_loss=0.397746 train_acc=0.8722 val_loss=0.354899 val_acc=0.8960 val_auc=0.967040
epoch=019 train_loss=0.400717 train_acc=0.8690 val_loss=0.359139 val_acc=0.8920 val_auc=0.967444
epoch=020 train_loss=0.377910 train_acc=0.8845 val_loss=0.367000 val_acc=0.8910 val_auc=0.959272
epoch=021 train_loss=0.387701 train_acc=0.8765 val_loss=0.356193 val_acc=0.9020 val_auc=0.964428
epoch=022 train_loss=0.375806 train_acc=0.8880 val_loss=0.350317 val_acc=0.9030 val_auc=0.968996
epoch=023 train_loss=0.381525 train_acc=0.8832 val_loss=0.356057 val_acc=0.8970 val_auc=0.967564
epoch=024 train_loss=0.386492 train_acc=0.8812 val_loss=0.355223 val_acc=0.8950 val_auc=0.967716
epoch=025 train_loss=0.374220 train_acc=0.8875 val_loss=0.350715 val_acc=0.8910 val_auc=0.971316
epoch=026 train_loss=0.371503 train_acc=0.8965 val_loss=0.345431 val_acc=0.8990 val_auc=0.972108
epoch=027 train_loss=0.371768 train_acc=0.8885 val_loss=0.329995 val_acc=0.9110 val_auc=0.975772
epoch=028 train_loss=0.367298 train_acc=0.8945 val_loss=0.339475 val_acc=0.9080 val_auc=0.973620
epoch=029 train_loss=0.365063 train_acc=0.8955 val_loss=0.361289 val_acc=0.8880 val_auc=0.966544
epoch=030 train_loss=0.363884 train_acc=0.8955 val_loss=0.337787 val_acc=0.9220 val_auc=0.972156
epoch=031 train_loss=0.358884 train_acc=0.8972 val_loss=0.347290 val_acc=0.9070 val_auc=0.969692
epoch=032 train_loss=0.355445 train_acc=0.9018 val_loss=0.344134 val_acc=0.9010 val_auc=0.971572
epoch=033 train_loss=0.355081 train_acc=0.9067 val_loss=0.340140 val_acc=0.9120 val_auc=0.970476
epoch=034 train_loss=0.354974 train_acc=0.9055 val_loss=0.340074 val_acc=0.9060 val_auc=0.975864
epoch=035 train_loss=0.347472 train_acc=0.9077 val_loss=0.326956 val_acc=0.9140 val_auc=0.976780
epoch=036 train_loss=0.351272 train_acc=0.9062 val_loss=0.338604 val_acc=0.9040 val_auc=0.972620
epoch=037 train_loss=0.340428 train_acc=0.9113 val_loss=0.325112 val_acc=0.9180 val_auc=0.978028
epoch=038 train_loss=0.342427 train_acc=0.9120 val_loss=0.327949 val_acc=0.9210 val_auc=0.976408
epoch=039 train_loss=0.349265 train_acc=0.9050 val_loss=0.333293 val_acc=0.9050 val_auc=0.973088
epoch=040 train_loss=0.337431 train_acc=0.9125 val_loss=0.338600 val_acc=0.9040 val_auc=0.971740
