[Data] Mapping /root/autodl-tmp/qkzhang/PM_data_0222/PM_data_strain_1.npy ...
[Data] Mapping /root/autodl-tmp/qkzhang/PM_data_0222/PM_data_strain_2.npy ...
[Data] Mapping /root/autodl-tmp/qkzhang/Unlensed_data_0222/unlensed_data_strain.npy ...
epoch=001 train_loss=0.876148 train_acc=0.5923 val_loss=0.816459 val_acc=0.6200 val_auc=0.683168
epoch=002 train_loss=0.633394 train_acc=0.6535 val_loss=0.545375 val_acc=0.7410 val_auc=0.805788
epoch=003 train_loss=0.573310 train_acc=0.7123 val_loss=0.828860 val_acc=0.6660 val_auc=0.726342
epoch=004 train_loss=0.509016 train_acc=0.7530 val_loss=0.520334 val_acc=0.7800 val_auc=0.844996
epoch=005 train_loss=0.483769 train_acc=0.7827 val_loss=0.375066 val_acc=0.8460 val_auc=0.912564
epoch=006 train_loss=0.457246 train_acc=0.7945 val_loss=0.405012 val_acc=0.8260 val_auc=0.896532
epoch=007 train_loss=0.436364 train_acc=0.8055 val_loss=0.400908 val_acc=0.8350 val_auc=0.906960
epoch=008 train_loss=0.420599 train_acc=0.8125 val_loss=0.330056 val_acc=0.8690 val_auc=0.929664
epoch=009 train_loss=0.383522 train_acc=0.8307 val_loss=0.328694 val_acc=0.8650 val_auc=0.934294
epoch=010 train_loss=0.389639 train_acc=0.8237 val_loss=0.480312 val_acc=0.8220 val_auc=0.893028
epoch=011 train_loss=0.380877 train_acc=0.8303 val_loss=0.334025 val_acc=0.8580 val_auc=0.933900
epoch=012 train_loss=0.355521 train_acc=0.8427 val_loss=0.311292 val_acc=0.8620 val_auc=0.938012
epoch=013 train_loss=0.352936 train_acc=0.8510 val_loss=0.299070 val_acc=0.8810 val_auc=0.943260
epoch=014 train_loss=0.353518 train_acc=0.8485 val_loss=0.353525 val_acc=0.8430 val_auc=0.921088
epoch=015 train_loss=0.344476 train_acc=0.8470 val_loss=0.315606 val_acc=0.8730 val_auc=0.938384
epoch=016 train_loss=0.341255 train_acc=0.8522 val_loss=0.287199 val_acc=0.8800 val_auc=0.947216
epoch=017 train_loss=0.319215 train_acc=0.8562 val_loss=0.353854 val_acc=0.8600 val_auc=0.930880
epoch=018 train_loss=0.309722 train_acc=0.8632 val_loss=0.267757 val_acc=0.8930 val_auc=0.953826
epoch=019 train_loss=0.310800 train_acc=0.8605 val_loss=0.272040 val_acc=0.8850 val_auc=0.951608
epoch=020 train_loss=0.326025 train_acc=0.8570 val_loss=0.313302 val_acc=0.8790 val_auc=0.950400
epoch=021 train_loss=0.322621 train_acc=0.8618 val_loss=0.261123 val_acc=0.8920 val_auc=0.955296
epoch=022 train_loss=0.311303 train_acc=0.8672 val_loss=0.357364 val_acc=0.8720 val_auc=0.938920
epoch=023 train_loss=0.319367 train_acc=0.8672 val_loss=0.246758 val_acc=0.8970 val_auc=0.963012
epoch=024 train_loss=0.305187 train_acc=0.8752 val_loss=0.280045 val_acc=0.8880 val_auc=0.951936
epoch=025 train_loss=0.285980 train_acc=0.8778 val_loss=0.379180 val_acc=0.8770 val_auc=0.942560
epoch=026 train_loss=0.286319 train_acc=0.8785 val_loss=0.294851 val_acc=0.8890 val_auc=0.950688
epoch=027 train_loss=0.291182 train_acc=0.8802 val_loss=0.291429 val_acc=0.8890 val_auc=0.956524
epoch=028 train_loss=0.286487 train_acc=0.8805 val_loss=0.260653 val_acc=0.8990 val_auc=0.958572
epoch=029 train_loss=0.276192 train_acc=0.8872 val_loss=0.271466 val_acc=0.8910 val_auc=0.955752
epoch=030 train_loss=0.269630 train_acc=0.8860 val_loss=0.285974 val_acc=0.8930 val_auc=0.956788
epoch=031 train_loss=0.280188 train_acc=0.8802 val_loss=0.298540 val_acc=0.8920 val_auc=0.952056
epoch=032 train_loss=0.263594 train_acc=0.8892 val_loss=0.239364 val_acc=0.9030 val_auc=0.963888
epoch=033 train_loss=0.270991 train_acc=0.8825 val_loss=0.256759 val_acc=0.8970 val_auc=0.962356
epoch=034 train_loss=0.261888 train_acc=0.8882 val_loss=0.290794 val_acc=0.8970 val_auc=0.954882
epoch=035 train_loss=0.275757 train_acc=0.8780 val_loss=0.237484 val_acc=0.9030 val_auc=0.966716
epoch=036 train_loss=0.248471 train_acc=0.8990 val_loss=0.247755 val_acc=0.9040 val_auc=0.965856
epoch=037 train_loss=0.253583 train_acc=0.9005 val_loss=0.246561 val_acc=0.9000 val_auc=0.963196
epoch=038 train_loss=0.224533 train_acc=0.9035 val_loss=0.251325 val_acc=0.9050 val_auc=0.967520
epoch=039 train_loss=0.239563 train_acc=0.9000 val_loss=0.303734 val_acc=0.9020 val_auc=0.958470
epoch=040 train_loss=0.245810 train_acc=0.8975 val_loss=0.208022 val_acc=0.9160 val_auc=0.974312
epoch=041 train_loss=0.236381 train_acc=0.9040 val_loss=0.240330 val_acc=0.9010 val_auc=0.968008
epoch=042 train_loss=0.235615 train_acc=0.9070 val_loss=0.312281 val_acc=0.9020 val_auc=0.963844
epoch=043 train_loss=0.243247 train_acc=0.9030 val_loss=0.224987 val_acc=0.9180 val_auc=0.973436
epoch=044 train_loss=0.243862 train_acc=0.9010 val_loss=0.313568 val_acc=0.9030 val_auc=0.962556
epoch=045 train_loss=0.224135 train_acc=0.9133 val_loss=0.242665 val_acc=0.9090 val_auc=0.973620
epoch=046 train_loss=0.231784 train_acc=0.9045 val_loss=0.269871 val_acc=0.9070 val_auc=0.968892
epoch=047 train_loss=0.231274 train_acc=0.9075 val_loss=0.221743 val_acc=0.9190 val_auc=0.975188
epoch=048 train_loss=0.225855 train_acc=0.9080 val_loss=0.260995 val_acc=0.9160 val_auc=0.967450
epoch=049 train_loss=0.225332 train_acc=0.9083 val_loss=0.207501 val_acc=0.9110 val_auc=0.975184
epoch=050 train_loss=0.217265 train_acc=0.9085 val_loss=0.258064 val_acc=0.9070 val_auc=0.972156
epoch=051 train_loss=0.226566 train_acc=0.9070 val_loss=0.332178 val_acc=0.9030 val_auc=0.966840
epoch=052 train_loss=0.225783 train_acc=0.9097 val_loss=0.251709 val_acc=0.9160 val_auc=0.972400
epoch=053 train_loss=0.219508 train_acc=0.9123 val_loss=0.249100 val_acc=0.9180 val_auc=0.972656
epoch=054 train_loss=0.213807 train_acc=0.9125 val_loss=0.265341 val_acc=0.9210 val_auc=0.974536
epoch=055 train_loss=0.215460 train_acc=0.9177 val_loss=0.245029 val_acc=0.9130 val_auc=0.973048
epoch=056 train_loss=0.198916 train_acc=0.9145 val_loss=0.285591 val_acc=0.9120 val_auc=0.970036
epoch=057 train_loss=0.222305 train_acc=0.9173 val_loss=0.246434 val_acc=0.9250 val_auc=0.973600
epoch=058 train_loss=0.216005 train_acc=0.9193 val_loss=0.255378 val_acc=0.9140 val_auc=0.973500
