epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.8761482977867127,0.59225,0.8164592208862305,0.62,0.683168,0.0001
2,0.6333942403793335,0.6535,0.5453749308586121,0.741,0.8057880000000001,9.999728588359285e-05
3,0.5733103213310242,0.71225,0.8288602342605591,0.666,0.726342,9.998914383200485e-05
4,0.5090159628391265,0.753,0.5203341503143311,0.78,0.8449960000000001,9.997557473810371e-05
5,0.48376925802230836,0.78275,0.3750663001537323,0.846,0.912564,9.995658008989348e-05
6,0.45724641251564024,0.7945,0.40501246333122254,0.826,0.8965320000000001,9.993216197035139e-05
7,0.4363637266159058,0.8055,0.40090808939933775,0.835,0.90696,9.990232305719943e-05
8,0.42059892797470094,0.8125,0.3300558838844299,0.869,0.929664,9.986706662261065e-05
9,0.3835222194194794,0.83075,0.32869405245780947,0.865,0.934294,9.982639653285045e-05
10,0.38963853287696837,0.82375,0.48031178522109985,0.822,0.8930279999999999,9.978031724785244e-05
11,0.380877418756485,0.83025,0.33402495956420897,0.858,0.9339000000000001,9.972883382072951e-05
12,0.3555212414264679,0.84275,0.311292473077774,0.862,0.938012,9.96719518972196e-05
13,0.35293614053726197,0.851,0.2990696427822113,0.881,0.94326,9.960967771506664e-05
14,0.35351753401756286,0.8485,0.3535252635478973,0.843,0.921088,9.954201810333643e-05
15,0.34447589826583863,0.847,0.3156055357456207,0.873,0.938384,9.94689804816679e-05
16,0.34125529861450193,0.85225,0.28719949793815613,0.88,0.9472160000000001,9.93905728594593e-05
17,0.3192146711349487,0.85625,0.35385369634628294,0.86,0.93088,9.930680383498997e-05
18,0.3097221968173981,0.86325,0.26775655007362364,0.893,0.953826,9.921768259447744e-05
19,0.3108002891540527,0.8605,0.2720403287410736,0.885,0.951608,9.912321891107008e-05
20,0.3260254120826721,0.857,0.3133022046089172,0.879,0.9504,9.902342314377522e-05
21,0.322620735168457,0.86175,0.2611234519481659,0.892,0.955296,9.891830623632336e-05
22,0.311302830696106,0.86725,0.357363584280014,0.872,0.93892,9.880787971596798e-05
23,0.31936657333374024,0.86725,0.2467582061290741,0.897,0.9630120000000001,9.869215569222141e-05
24,0.30518721222877504,0.87525,0.2800446090698242,0.888,0.951936,9.857114685552697e-05
25,0.28597985935211184,0.87775,0.37917973899841306,0.877,0.94256,9.844486647586722e-05
26,0.2863185179233551,0.8785,0.29485120058059694,0.889,0.950688,9.831332840130885e-05
27,0.291182195186615,0.88025,0.2914286916255951,0.889,0.956524,9.817654705648406e-05
28,0.2864868009090424,0.8805,0.26065339374542235,0.899,0.958572,9.803453744100867e-05
29,0.27619177067279815,0.88725,0.2714655854701996,0.891,0.955752,9.788731512783731e-05
30,0.2696299650669098,0.886,0.285974428653717,0.893,0.9567880000000001,9.773489626155569e-05
31,0.28018846654891966,0.88025,0.29854004859924316,0.892,0.9520560000000001,9.75772975566101e-05
32,0.2635944077968597,0.88925,0.23936436402797698,0.903,0.9638880000000001,9.741453629547449e-05
33,0.2709905352592468,0.8825,0.25675943613052365,0.897,0.9623560000000001,9.72466303267553e-05
34,0.26188763523101805,0.88825,0.2907938623428345,0.897,0.9548819999999999,9.707359806323415e-05
35,0.27575694036483767,0.878,0.23748442840576173,0.903,0.966716,9.689545847984861e-05
36,0.24847089409828185,0.899,0.2477547652721405,0.904,0.965856,9.671223111161146e-05
37,0.25358313477039335,0.9005,0.24656112837791444,0.9,0.963196,9.652393605146843e-05
38,0.22453301930427552,0.9035,0.25132545781135557,0.905,0.9675199999999999,9.633059394809473e-05
39,0.23956337010860443,0.9,0.3037338292598724,0.902,0.95847,9.613222600363077e-05
40,0.24581015920639038,0.8975,0.2080224509239197,0.916,0.9743120000000001,9.592885397135706e-05
41,0.2363809245824814,0.904,0.24032973217964174,0.901,0.968008,9.572050015330873e-05
42,0.23561548161506654,0.907,0.3122806794643402,0.902,0.963844,9.550718739782988e-05
43,0.2432467783689499,0.903,0.22498709046840668,0.918,0.973436,9.528893909706796e-05
44,0.24386246448755264,0.901,0.3135681755542755,0.903,0.962556,9.506577918440858e-05
45,0.2241348887681961,0.91325,0.24266514015197754,0.909,0.9736199999999999,9.483773213185093e-05
46,0.23178394079208375,0.9045,0.26987075877189637,0.907,0.968892,9.46048229473242e-05
47,0.2312744597196579,0.9075,0.2217432086467743,0.919,0.9751879999999999,9.436707717194512e-05
48,0.22585481709241867,0.908,0.26099514508247373,0.916,0.96745,9.41245208772171e-05
49,0.22533211505413056,0.90825,0.20750121092796325,0.911,0.975184,9.387718066217124e-05
50,0.21726532518863678,0.9085,0.25806403148174284,0.907,0.972156,9.362508365044939e-05
51,0.22656615447998046,0.907,0.3321783952713013,0.903,0.96684,9.336825748732972e-05
52,0.22578254306316375,0.90975,0.25170949387550356,0.916,0.9724,9.310673033669521e-05
53,0.21950779819488525,0.91225,0.24910024189949034,0.918,0.972656,9.284053087794508e-05
54,0.213807262301445,0.9125,0.2653412098884583,0.921,0.974536,9.256968830284976e-05
55,0.2154595775604248,0.91775,0.24502941060066225,0.913,0.9730479999999999,9.229423231234974e-05
56,0.19891577017307283,0.9145,0.2855914191007614,0.912,0.9700359999999999,9.20141931132985e-05
57,0.22230549240112304,0.91725,0.2464342200756073,0.925,0.9736,9.172960141514993e-05
58,0.21600537514686585,0.91925,0.2553779103755951,0.914,0.9734999999999999,9.14404884265908e-05
59,0.21464495849609375,0.91725,0.296367659330368,0.913,0.9733,9.114688585211836e-05
60,0.21070901226997377,0.9185,0.2406184208393097,0.924,0.977128,9.084882588856343e-05
61,0.21830872058868409,0.918,0.23035280358791352,0.915,0.9699559999999999,9.05463412215599e-05
62,0.2019830571115017,0.91675,0.38440314364433287,0.904,0.9628220000000001,9.023946502196018e-05
63,0.20189832150936127,0.92,0.21681232798099517,0.921,0.9756,8.992823094219772e-05
64,0.20213325130939483,0.919,0.2582542977333069,0.912,0.9730199999999999,8.961267311259668e-05
65,0.19747099721431732,0.92225,0.28865829634666446,0.921,0.971584,8.929282613762909e-05
66,0.1833775812983513,0.9255,0.250570054769516,0.919,0.9751399999999999,8.896872509212007e-05
67,0.2012561891078949,0.91725,0.3195955650806427,0.916,0.9710279999999999,8.864040551740158e-05
68,0.20018544292449952,0.92175,0.20195883119106292,0.928,0.9771880000000002,8.83079034174148e-05
69,0.1924415717124939,0.931,0.3431325545310974,0.907,0.970812,8.797125525476195e-05
70,0.1787041392326355,0.93225,0.31242377269268035,0.928,0.972632,8.763049794670775e-05
71,0.17588652342557906,0.931,0.26146171462535855,0.919,0.9754120000000001,8.728566886113102e-05
72,0.17937266594171525,0.9285,0.27382897877693174,0.925,0.9764160000000001,8.693680581242684e-05
73,0.19615752959251403,0.9255,0.26028408932685854,0.924,0.976992,8.658394705735987e-05
74,0.17510976299643516,0.939,0.2269858741760254,0.929,0.976892,8.622713129086892e-05
75,0.1888675525188446,0.93025,0.2623664517402649,0.915,0.9760519999999998,8.586639764182376e-05
76,0.19451157307624817,0.927,0.22937770402431487,0.923,0.9800800000000001,8.55017856687341e-05
77,0.17199913799762725,0.93325,0.20622648978233338,0.923,0.980632,8.51333353554116e-05
78,0.17343388319015504,0.933,0.298767537355423,0.918,0.9719479999999999,8.476108710658513e-05
79,0.18602338588237763,0.92775,0.27234204483032226,0.92,0.9744199999999998,8.438508174347008e-05
80,0.16490149235725401,0.93475,0.30418618488311766,0.923,0.9731179999999999,8.400536049929169e-05
81,0.16640472257137298,0.9325,0.2953775942325592,0.927,0.977716,8.362196501476347e-05
82,0.17081819891929625,0.93375,0.2359255120754242,0.92,0.9774320000000001,8.323493733352076e-05
83,0.1590449492931366,0.9365,0.24384730541706084,0.929,0.980096,8.284431989751022e-05
84,0.1653025514483452,0.93875,0.2829768908023834,0.921,0.977556,8.245015554233555e-05
85,0.15807377463579178,0.9385,0.26025850093364716,0.926,0.97902,8.205248749256013e-05
86,0.16530905801057816,0.935,0.25741882872581484,0.922,0.977072,8.165135935696695e-05
87,0.17156398510932921,0.93525,0.2612982915639877,0.914,0.977368,8.124681512377637e-05
88,0.15802377599477768,0.9445,0.2515534986257553,0.922,0.97926,8.083889915582234e-05
89,0.13954109784960747,0.9465,0.21219378423690796,0.927,0.9800519999999999,8.042765618568755e-05
90,0.14744588786363602,0.94125,0.2803165419101715,0.916,0.9778560000000001,8.001313131079798e-05
91,0.1477256563305855,0.94075,0.3208667106628418,0.922,0.9733480000000001,7.959536998847741e-05
92,0.17523609149456024,0.938,0.2606239631175995,0.922,0.9811000000000001,7.917441803096259e-05
93,0.15889511686563493,0.94225,0.3087323579788208,0.908,0.9772719999999999,7.875032160037937e-05
94,0.158983793258667,0.94075,0.2908955068588257,0.912,0.979556,7.832312720368047e-05
95,0.1427116547226906,0.945,0.23934046542644502,0.928,0.9809239999999999,7.789288168754552e-05
96,0.16358264940977096,0.93775,0.20868961477279663,0.936,0.981136,7.745963223324382e-05
97,0.15704482769966124,0.94125,0.26351651883125304,0.922,0.977208,7.70234263514603e-05
98,0.14087151455879213,0.94225,0.3370128993988037,0.916,0.9779639999999999,7.658431187708553e-05
99,0.14905039513111115,0.9435,0.27619312596321105,0.918,0.979124,7.614233696396993e-05
100,0.14455236554145812,0.941,0.2708076865673065,0.922,0.979464,7.569755007964337e-05
101,0.148910773396492,0.949,0.2756044306755066,0.928,0.980632,7.524999999999999e-05
102,0.13664759147167205,0.94775,0.3139464886188507,0.93,0.97846,7.479973580394945e-05
