[Data] Mapping /root/autodl-tmp/qkzhang/SIS_data_0222/SIS_data_strain_1.npy ...
[Data] Mapping /root/autodl-tmp/qkzhang/SIS_data_0222/SIS_data_strain_2.npy ...
[Data] Mapping /root/autodl-tmp/qkzhang/Unlensed_data_0222/unlensed_data_strain.npy ...
epoch=001 train_loss=0.976940 train_acc=0.5900 val_loss=0.626607 val_acc=0.6870 val_auc=0.742256
epoch=002 train_loss=0.614449 train_acc=0.6727 val_loss=0.496551 val_acc=0.7570 val_auc=0.847052
epoch=003 train_loss=0.533948 train_acc=0.7398 val_loss=0.429334 val_acc=0.8230 val_auc=0.893008
epoch=004 train_loss=0.465738 train_acc=0.7837 val_loss=0.414305 val_acc=0.8260 val_auc=0.896592
epoch=005 train_loss=0.464788 train_acc=0.7855 val_loss=0.375098 val_acc=0.8390 val_auc=0.916852
epoch=006 train_loss=0.422385 train_acc=0.8085 val_loss=0.351445 val_acc=0.8430 val_auc=0.924120
epoch=007 train_loss=0.401645 train_acc=0.8277 val_loss=0.337447 val_acc=0.8640 val_auc=0.929248
epoch=008 train_loss=0.382477 train_acc=0.8325 val_loss=0.307010 val_acc=0.8740 val_auc=0.937760
epoch=009 train_loss=0.362407 train_acc=0.8448 val_loss=0.293290 val_acc=0.8810 val_auc=0.947540
epoch=010 train_loss=0.353424 train_acc=0.8472 val_loss=0.314029 val_acc=0.8750 val_auc=0.939880
epoch=011 train_loss=0.360707 train_acc=0.8430 val_loss=0.344469 val_acc=0.8730 val_auc=0.938616
epoch=012 train_loss=0.327107 train_acc=0.8620 val_loss=0.361378 val_acc=0.8710 val_auc=0.933984
epoch=013 train_loss=0.326751 train_acc=0.8660 val_loss=0.312131 val_acc=0.8850 val_auc=0.946380
epoch=014 train_loss=0.313973 train_acc=0.8762 val_loss=0.287341 val_acc=0.8920 val_auc=0.947404
epoch=015 train_loss=0.314128 train_acc=0.8648 val_loss=0.510078 val_acc=0.8480 val_auc=0.915394
epoch=016 train_loss=0.328842 train_acc=0.8560 val_loss=0.256696 val_acc=0.8970 val_auc=0.955556
epoch=017 train_loss=0.302185 train_acc=0.8748 val_loss=0.256597 val_acc=0.8910 val_auc=0.958788
epoch=018 train_loss=0.295491 train_acc=0.8800 val_loss=0.333998 val_acc=0.8820 val_auc=0.940364
epoch=019 train_loss=0.294383 train_acc=0.8748 val_loss=0.245228 val_acc=0.8980 val_auc=0.961672
epoch=020 train_loss=0.274926 train_acc=0.8828 val_loss=0.280381 val_acc=0.8990 val_auc=0.953340
epoch=021 train_loss=0.298058 train_acc=0.8815 val_loss=0.279398 val_acc=0.8930 val_auc=0.953208
epoch=022 train_loss=0.286609 train_acc=0.8822 val_loss=0.290415 val_acc=0.8900 val_auc=0.950368
epoch=023 train_loss=0.295600 train_acc=0.8722 val_loss=0.252947 val_acc=0.8970 val_auc=0.959384
epoch=024 train_loss=0.274570 train_acc=0.8832 val_loss=0.240821 val_acc=0.9030 val_auc=0.960716
epoch=025 train_loss=0.280997 train_acc=0.8778 val_loss=0.271250 val_acc=0.9090 val_auc=0.958800
epoch=026 train_loss=0.258083 train_acc=0.8878 val_loss=0.311791 val_acc=0.9080 val_auc=0.958144
epoch=027 train_loss=0.264196 train_acc=0.8875 val_loss=0.242762 val_acc=0.9070 val_auc=0.964580
epoch=028 train_loss=0.279292 train_acc=0.8858 val_loss=0.320180 val_acc=0.9060 val_auc=0.955644
epoch=029 train_loss=0.270868 train_acc=0.8872 val_loss=0.253059 val_acc=0.9100 val_auc=0.960448
epoch=030 train_loss=0.259610 train_acc=0.8902 val_loss=0.244606 val_acc=0.9130 val_auc=0.962928
epoch=031 train_loss=0.278779 train_acc=0.8808 val_loss=0.252563 val_acc=0.9080 val_auc=0.965500
epoch=032 train_loss=0.244530 train_acc=0.8992 val_loss=0.272607 val_acc=0.9020 val_auc=0.962936
epoch=033 train_loss=0.247857 train_acc=0.8908 val_loss=0.234899 val_acc=0.9170 val_auc=0.965584
epoch=034 train_loss=0.256438 train_acc=0.8912 val_loss=0.218322 val_acc=0.9100 val_auc=0.968696
epoch=035 train_loss=0.245775 train_acc=0.8975 val_loss=0.232987 val_acc=0.9080 val_auc=0.967304
epoch=036 train_loss=0.238911 train_acc=0.9012 val_loss=0.314543 val_acc=0.8960 val_auc=0.954258
epoch=037 train_loss=0.245563 train_acc=0.9008 val_loss=0.268356 val_acc=0.8990 val_auc=0.959004
